trade_name,concentration,company,pharmaceutical_form,display_name
VALDOXAN,25mg,SERVIER EGYPT SCIENTIFIC OFFICE,Film Coated Tablets,VALDOXAN 25mg
PHARMATROPIL 1gm/5 ml,1gm/5ml,HIKMA SPECIALIZED PHARMACEUTICALS,Solution For I.M or I.V. Injection,PHARMATROPIL 1gm/5 ml 1gm/5ml
EGYCUSATE,20mg/5ml,Egyptian Group for Pharmaceutical Industries - EGPI,Oral Syrup,EGYCUSATE 20mg/5ml
NEBIMOUN,10mg,Amoun Pharmaceutical Company,Film Coated Tablets,NEBIMOUN 10mg
NEBIMOUN,2.5mg,Amoun Pharmaceutical Company,Film Coated Tablets,NEBIMOUN 2.5mg
NEBIMOUN,5mg,Amoun Pharmaceutical Company,Film Coated Tablets,NEBIMOUN 5mg
Ranitidine 150 eff.,150mg,pharaonia pharmaceuticals (pharo pharma),Effervescent Granules,Ranitidine 150 eff. 150mg
MIRTADEPINE,30mg,Alfacure Pharmaceuticals,Tablets,MIRTADEPINE 30mg
ISORIFAMPIN,0comb,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Hard Gelatin Capsules,ISORIFAMPIN 0comb
LEPTICURE 300mg,300mg,pharaonia pharmaceuticals (pharo pharma),Hard Gelatin Capsules,LEPTICURE 300mg 300mg
LEPTICURE 400mg,400mg,pharaonia pharmaceuticals (pharo pharma),Hard Gelatin Capsules,LEPTICURE 400mg 400mg
OXAPRIN-Misr,600mg,Misr company for Pharmaceuticals,Tablets,OXAPRIN-Misr 600mg
DESLOREX,2.5mg,pharaonia pharmaceuticals (pharo pharma),Syrup,DESLOREX 2.5mg
Vicksolytic,0comb,penta pharma egypt,Syrup,Vicksolytic 0comb
CINACALCET 30 mg,30mg,Multicare Egypt for Pharmaceutical Industries,Film Coated Tablets,CINACALCET 30 mg 30mg
LINCOBIOTIC,300mg/ml,MEMPHIS for pharmaceuticals and chemical industries,Solution for I.M Injection/I.V Infusion,LINCOBIOTIC 300mg/ml
CINACALCET 90 mg,90mg,Multicare Egypt for Pharmaceutical Industries,Film Coated Tablets,CINACALCET 90 mg 90mg
Sycocetam,100mg/ml,Marcyrl pharmaceutical industries - MPI,Oral Solution,Sycocetam 100mg/ml
Vedge,5gm/100ml,Egyphar,Oral Syrup,Vedge 5gm/100ml
GASTROBIOTIC 200 mg,200mg,al andalous for pharmaceutical industries,Film Coated Tablets,GASTROBIOTIC 200 mg 200mg
TERVENTIN,20mg,Egyphar,Film Coated Tablets,TERVENTIN 20mg
CHOLENORM,600mg,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Film Coated Tablets,CHOLENORM 600mg
TERBUTANYL,2.5mg,Chemical Industries Development (CID),Tablets,TERBUTANYL 2.5mg
HERBARIL,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Topical Gel,HERBARIL 0comb
TERBUTANYL,1.5mg/5ml,Chemical Industries Development (CID),Syrup,TERBUTANYL 1.5mg/5ml
Virustat 800 mg,800mg,pharaonia pharmaceuticals (pharo pharma),Tablets,Virustat 800 mg 800mg
Virustat 200 mg,200mg,pharaonia pharmaceuticals (pharo pharma),Tablets,Virustat 200 mg 200mg
VIRUSTAT 400mg,400mg,pharaonia pharmaceuticals (pharo pharma),Tablets,VIRUSTAT 400mg 400mg
NERVIDOX,0comb,Inco Pharma Egypt,Sublingual Tablet,NERVIDOX 0comb
PANAVIDONE 10%,10gm/100ml,Panax Pharma,Vaginal Douche,PANAVIDONE 10% 10gm/100ml
CONTROLEPSY 50 mg,50mg,Global NAPI Pharmaceuticals - GNP,Tablets,CONTROLEPSY 50 mg 50mg
RAMAZODEF 400mg,400mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Film Coated Tablets,RAMAZODEF 400mg 400mg
GESKAPROFEN,25mg,Utopia pharmaceuticals,Film Coated Tablets,GESKAPROFEN 25mg
EPCIDIN S.R.,6mg,Hikma Pharmaceuticals industries,Hard Gelatin Capsules Containing Extended Release Pellets,EPCIDIN S.R. 6mg
Mepacovent 4 mg SR,4mg,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,SUSTAINED RELEASE TABLET,Mepacovent 4 mg SR 4mg
DECANCIT SR,0comb,Apex pharma,SUSTAINED RELEASE TABLET,DECANCIT SR 0comb
EPCURA MR,4mg,Hikma Pharmaceuticals industries,MODIFIED RELEASE TABLETS,EPCURA MR 4mg
Bactroform,0.02gm/1gm,Western Pharmaceuticals Industries,Topical Ointment,Bactroform 0.02gm/1gm
Ramedazolamide,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",sterile ophthalmic solution,Ramedazolamide 0comb
FLOXA WEST,300mg,Western Pharmaceuticals Industries,Film Coated Tablets,FLOXA WEST 300mg
Aknapalen 0.1%,0.01gm/10g,Egyptian Group for Pharmaceutical Industries - EGPI,Topical Gel,Aknapalen 0.1% 0.01gm/10g
Artificial Saliva,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Oral Spray,Artificial Saliva 0comb
STATIROSE,20mg,Pharmagin Egypt,Tablets,STATIROSE 20mg
ELETRIKAN,40mg,Hikma pharma,Film Coated Tablets,ELETRIKAN 40mg
CLINDACINE,300mg,art pharma FOR PHARMACEUTICAL INDUSTRIES,Hard Gelatin Capsules,CLINDACINE 300mg
VEDGE 500mg,500mg,Egyphar,enteric film coated controlled release tablets,VEDGE 500mg 500mg
DEPEZAC,90mg,Hikma Pharmaceuticals industries,Delayed Release Tablets,DEPEZAC 90mg
Nitazoxin,1.2gm/60ml,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Powder for Oral Suspension,Nitazoxin 1.2gm/60ml
Anxbeat,15mg,SIGMA PHARMACEUTICAL INDUSTRIES,Tablets,Anxbeat 15mg
CETA MENSTRUAL,0comb,egyptian promoters center for pharmaceuticals,Film Coated Tablets,CETA MENSTRUAL 0comb
Timbestatin 10/20 mg,0comb,Viida Pharma,Film Coated Tablets,Timbestatin 10/20 mg 0comb
TRAUMAPLANT,10gm/100g,Dareen Pharma Group,Topical Cream,TRAUMAPLANT 10gm/100g
Attensera 40,40mg,Mash for pharmaceutical Industries and cosmetic - mash premiere,Hard Gelatin Capsules,Attensera 40 40mg
COMTAPONE,200mg,Chemipharm Pharmaceutical Industries,Film Coated Tablets,COMTAPONE 200mg
NOCTOPEX,2mg,Apex pharma,Film Coated Tablets,NOCTOPEX 2mg
ORGANOMOX,400mg/5ml,organo for pharmaceutical and chemical industries (organo pharma),Powder for Oral Suspension,ORGANOMOX 400mg/5ml
SODIUM CHLORIDE 0.18 % + GLUCOSE 4.3%,0comb,"Al Mottahedoon for Pharmaceutical Industry, medical devices and cosmetics - U pharma",Solution For I.V Infusion,SODIUM CHLORIDE 0.18 % + GLUCOSE 4.3% 0comb
ATOVAST 20 mg f.c.tab.,20mg,ELrazy pharmaceuticals,Film Coated Tablets,ATOVAST 20 mg f.c.tab. 20mg
ATOVAST10 mg f.c.tab.,10mg,ELrazy pharmaceuticals,Film Coated Tablets,ATOVAST10 mg f.c.tab. 10mg
Linez,600mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Film Coated Tablets,Linez 600mg
CORONOLAX,2.5mg,SINA PHARM,Sustained Release Capsule,CORONOLAX 2.5mg
URSAK,0comb,SINA PHARM,Film Coated Tablets,URSAK 0comb
AMIPAREN 10 %,10%,Egypt Otsuka Pharmaceutical,Solution For I.V Infusion,AMIPAREN 10 % 10%
PARKINEAST,5mg,Western Pharmaceuticals Industries,Hard Gelatin Capsules,PARKINEAST 5mg
FAMTOCAL-M,0comb,jedco international pharmaceuticals,Chewable Tablets,FAMTOCAL-M 0comb
WATER FOR INJECTION -Alfacure,100%,Alfacure Pharmaceuticals,Sterile Water for Injection,WATER FOR INJECTION -Alfacure 100%
STOMIGAS,0comb,Adwia,Powder for Oral Suspension,STOMIGAS 0comb
STOMIGAS,0comb,International drug agency for pharmaceutical industry (IDI),Powder for Oral Suspension,STOMIGAS 0comb
STOMIGAS,0comb,Adwia,Hard Gelatin Capsules,STOMIGAS 0comb
STOMIGAS,0comb,Adwia,Hard Gelatin Capsules,STOMIGAS 0comb
Fastel,30mg/5ml,European egyptian pharmaceutical industries,Oral Suspension,Fastel 30mg/5ml
QUITAPEX 300 mg,300mg,Apex pharma,Extended Release Film Coated Tablets,QUITAPEX 300 mg 300mg
EXTRAGESIC 400 mg,400mg,al andalous for pharmaceutical industries,Film Coated Tablets,EXTRAGESIC 400 mg 400mg
Paracetamol - Pharco B International,1000mg/100ml,Pharco B International,Solution For I.V Infusion,Paracetamol - Pharco B International 1000mg/100ml
TOPINOID,0.05gm/100g,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Topical Gel,TOPINOID 0.05gm/100g
ALKAPRESS PLUS,0comb,Hikma pharma,Film Coated Tablets,ALKAPRESS PLUS 0comb
ATMECIPIA,10mg,"ATM Pharmaceutical Industries, Import and Export",Film Coated Tablets,ATMECIPIA 10mg
Rameceftrax 500 mg,500mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Powder for Solution for I.V injection,Rameceftrax 500 mg 500mg
WOMANKIT,0comb,Haya Pharm,Film Coated Tablets,WOMANKIT 0comb
MISACLOR,125mg/5ml,Mash for pharmaceutical Industries and cosmetic - mash premiere,Powder for Oral Suspension,MISACLOR 125mg/5ml
OXALEPTAL 6gm/100ml,6gm/100ml,Mash for pharmaceutical Industries and cosmetic - mash premiere,Oral Suspension,OXALEPTAL 6gm/100ml 6gm/100ml
Optest,0.05gm/100ml,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Ophthalmic Solution,Optest 0.05gm/100ml
AZIRAZ,200mg/5ml,ELrazy pharmaceuticals,Powder for Oral Suspension,AZIRAZ 200mg/5ml
RHINOCALM,0comb,pharma cure pharmaceutical industries,Syrup,RHINOCALM 0comb
Optiguard,3mg/ml,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",sterile ophthalmic solution,Optiguard 3mg/ml
STONTIOMIR,2gm/5gm,Mira International for Pharmaceuticals & Chemicals,Granules for Oral Suspension,STONTIOMIR 2gm/5gm
CAPTOPRIL - ALEXANDRIA,50mg,Alexandria Co. For Pharmaceuticals and Chemical Industries,Tablets,CAPTOPRIL - ALEXANDRIA 50mg
Adwisept,10%,Adwia,Vaginal Douche,Adwisept 10%
GLYBFORMIN,0comb,SINA PHARM,Tablets,GLYBFORMIN 0comb
GLIFORM,0comb,Borg Pharmaceutical Industries,Tablets,GLIFORM 0comb
FURFURIL 220mg/5ml,220mg/5ml,organo for pharmaceutical and chemical industries (organo pharma),Oral Suspension,FURFURIL 220mg/5ml 220mg/5ml
EZAPRIL 20 mg,20mg,Apex pharma,Tablets,EZAPRIL 20 mg 20mg
Vancobact 500mg,500mg,Egyptian Company for Health Care Products and Pharmaceutical Trading ( EGYPHARMA ),Powder for Solution for I.V Infusion,Vancobact 500mg 500mg
HYDROZIDE,25mg,focus pharma,SCORED TABLET,HYDROZIDE 25mg
QUITAPEX 400 mg,400mg,Apex pharma,Extended Release Film Coated Tablets,QUITAPEX 400 mg 400mg
FLAGYMYCIN DS,0comb,Haya Pharm,Film Coated Tablets,FLAGYMYCIN DS 0comb
GENMYCIN PLUS,0comb,Chemipharm Pharmaceutical Industries,Topical Cream,GENMYCIN PLUS 0comb
Tinifloxacin,0comb,organo for pharmaceutical and chemical industries (organo pharma),Tablets,Tinifloxacin 0comb
DIABEX,120mg,South Egypt Drug Industries Co (SEDICO),Film Coated Tablets,DIABEX 120mg
Adolor 10mg,10mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Film Coated Tablets,Adolor 10mg 10mg
Ayapenam I.V INFUSION,0comb,Arax Pharmaceutical industries ( API ),Powder for injection,Ayapenam I.V INFUSION 0comb
GALLDEPEDRA,300mg,AUG Pharma,Film Coated Tablets,GALLDEPEDRA 300mg
Acnidu,0comb,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Topical Gel,Acnidu 0comb
Caredalud S.R.,6mg,Multicare Egypt for Pharmaceutical Industries,Sustained Release Film Coated Tablets,Caredalud S.R. 6mg
ETHAMBUTOL MEMPHIS,500mg,MEMPHIS for pharmaceuticals and chemical industries,Film Coated Tablets,ETHAMBUTOL MEMPHIS 500mg
CONCENTRATED HAEMODIALYSIS SOLUTION-ACIDIC( B1)- BP(2008),0comb,El Fath for Drugs and Cosmetics Industry (FIPCO),Hemodialysis Solution,CONCENTRATED HAEMODIALYSIS SOLUTION-ACIDIC( B1)- BP(2008) 0comb
Profusol 600 mg,600mg,European egyptian pharmaceutical industries,Soft Gelatin Capsule,Profusol 600 mg 600mg
CONCENTRATED HAEMODIALYSIS SOLUTION-ACIDIC( B4)-BP(2009),0comb,El Fath for Drugs and Cosmetics Industry (FIPCO),Hemodialysis Solution,CONCENTRATED HAEMODIALYSIS SOLUTION-ACIDIC( B4)-BP(2009) 0comb
FAULCURIUM,10mg/ml,South Egypt Drug Industries Co (SEDICO),Solution for I.V injection \Infusion,FAULCURIUM 10mg/ml
AMTHROST,250mg,sabaa international company for pharmaceutical and chemical industries,Film Coated Tablets,AMTHROST 250mg
SODIUM LACTATE 1.85 % BP 2009,1.85gm/100ml,"Al Mottahedoon for Pharmaceutical Industry, medical devices and cosmetics - U pharma",Solution For I.V Infusion,SODIUM LACTATE 1.85 % BP 2009 1.85gm/100ml
PSYCHODAL 2 mg disintegrated tablet,2mg,El Delta for Pharmaceutical Industries - Delta Pharma,orally disintegrating Tablets,PSYCHODAL 2 mg disintegrated tablet 2mg
FLUVIXAL,20mg/ml,El Delta for Pharmaceutical Industries - Delta Pharma,Solution for Deep I.M Injection,FLUVIXAL 20mg/ml
CYCLOSED,10mg,South Egypt Drug Industries Co (SEDICO),Film Coated Tablets,CYCLOSED 10mg
CONCENTRATED HAEMODIALYSIS SOLUTION-ACIDIC -B2,0comb,El Fath for Drugs and Cosmetics Industry (FIPCO),Hemodialysis Solution,CONCENTRATED HAEMODIALYSIS SOLUTION-ACIDIC -B2 0comb
LIPIZAD,20mg,zad industrial pharma,Tablets,LIPIZAD 20mg
SEDOTAZOL,100mg,South Egypt Drug Industries Co (SEDICO),Tablets,SEDOTAZOL 100mg
SERIGABTIN 150mg,150mg,SERIO PHARM-EGYPT,Hard Gelatin Capsules,SERIGABTIN 150mg 150mg
SERIGABTIN 75mg,75mg,SERIO PHARM-EGYPT,Hard Gelatin Capsules,SERIGABTIN 75mg 75mg
CAPROL 5 mg,5mg,International drug agency for pharmaceutical industry (IDI),Film Coated Tablets,CAPROL 5 mg 5mg
CAPROL 10 mg,10mg,International drug agency for pharmaceutical industry (IDI),Film Coated Tablets,CAPROL 10 mg 10mg
MAZEMAL 400 CR,400mg,universal pharmaceutical industries (unipharma),CONTROLLED RELEASE FILM COATED TABLET,MAZEMAL 400 CR 400mg
MAZEMAL CR,200mg,universal pharmaceutical industries (unipharma),Controlled Release Tablet,MAZEMAL CR 200mg
PACLITAXEL STRAGEN,30mg/5ml,AL-Zahraa Trade Office,Concentrate For Solution For I.V Infusion,PACLITAXEL STRAGEN 30mg/5ml
Betastimul,2mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Tablets,Betastimul 2mg
Betastimul,3mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Tablets,Betastimul 3mg
STATERGIC,2.5mg/5ml,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,STATERGIC 2.5mg/5ml
PREGAVALEX 75mg,75mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Hard Gelatin Capsules,PREGAVALEX 75mg 75mg
EUROBUTAMIN 200 mg,200mg,European egyptian pharmaceutical industries,Film Coated Tablets,EUROBUTAMIN 200 mg 200mg
NORMESAR PLUS,0comb,Four A Pharma for pharmaceutical industries (FAP),Film Coated Tablets,NORMESAR PLUS 0comb
Osteorine,50mg,Medizen pharmaceutical industries (Medizen),Hard Gelatin Capsules,Osteorine 50mg
Esogerdazole 40mg DR,40mg,al rowad for pharmaceutical industries,Delayed release enteric coated pellets in hard gelatin capsule,Esogerdazole 40mg DR 40mg
Elaxicopa 1 mg,1mg,copad egypt for trade and pharmaceutical industries (copad pharma),Film Coated Tablets,Elaxicopa 1 mg 1mg
Elaxicopa 4 mg,4mg,copad egypt for trade and pharmaceutical industries (copad pharma),Film Coated Tablets,Elaxicopa 4 mg 4mg
CO-VASOTEC 80/12.5,0comb,Egyptian International Pharmaceutical Industries Company (EIPICO),Film Coated Tablets,CO-VASOTEC 80/12.5 0comb
CO-VASOTEC 160/12.5 mg,0comb,Egyptian International Pharmaceutical Industries Company (EIPICO),Film Coated Tablets,CO-VASOTEC 160/12.5 mg 0comb
Voxazoldin 2 mg/ml,2mg/ml,Adwia,Solution For I.V Infusion,Voxazoldin 2 mg/ml 2mg/ml
Carfalone 50 mg,50mg,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,Carfalone 50 mg 50mg
Angiosartan Plus 20/12.5 mg,0comb,Chemipharm Pharmaceutical Industries,Film Coated Tablets,Angiosartan Plus 20/12.5 mg 0comb
Phyto K,10mg,Multicare Egypt for Pharmaceutical Industries,Film Coated Tablets,Phyto K 10mg
Diclosp 75 mg SR,75mg,Alphabet pharma,Sustained Release Film Coated Tablets,Diclosp 75 mg SR 75mg
Citapronex 5 mg,5mg,Chemipharm Pharmaceutical Industries,Film Coated Tablets,Citapronex 5 mg 5mg
VIXADEP 150 mg S.R,150mg,Marcyrl pharmaceutical industries - MPI,Sustained Release Film Coated Tablets,VIXADEP 150 mg S.R 150mg
Ibandrocare,150mg,Multicare Egypt for Pharmaceutical Industries,Film Coated Tablets,Ibandrocare 150mg
Bisoprol,5mg,SAJA Pharmaceuticals Egypt - SAJA,Film Coated Tablets,Bisoprol 5mg
Flagy-Raz,125mg/5ml,ELrazy pharmaceuticals,Oral Suspension,Flagy-Raz 125mg/5ml
Lexinotryl,1gm,Gypto Pharma for Pharmaceutical Manufacturing and Trading - GYPTO,Film Coated Tablets,Lexinotryl 1gm
Sildenafil,100mg,Medizen pharmaceutical industries (Medizen),Scored Film Coated Tablet,Sildenafil 100mg
Fastsolone 15 mg,15mg,Global NAPI Pharmaceuticals - GNP,orally disintegrating Tablets,Fastsolone 15 mg 15mg
Fastsolone 30 mg,30mg,Global NAPI Pharmaceuticals - GNP,orally disintegrating Tablets,Fastsolone 30 mg 30mg
Hyaloptic,2mg/ml,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Ophthalmic Solution,Hyaloptic 2mg/ml
Dexketo Care,12.5mg/gm,Multicare Egypt for Pharmaceutical Industries,Topical Gel,Dexketo Care 12.5mg/gm
Solvacitrax 540 mg,540mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Extended Release Tablet,Solvacitrax 540 mg 540mg
Solvacitrax 1080 mg,1080mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Extended Release Tablet,Solvacitrax 1080 mg 1080mg
Solvacitrax 1620 mg,1620mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Extended Release Tablet,Solvacitrax 1620 mg 1620mg
Clovicitabine 200/245 mg,0comb,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Film Coated Tablets,Clovicitabine 200/245 mg 0comb
Kalemapex 1080mg,1080mg,Apex pharma,Extended Release Tablet,Kalemapex 1080mg 1080mg
Kalemapex 1620mg,1620mg,Apex pharma,Extended Release Tablet,Kalemapex 1620mg 1620mg
Prednisolone – EVAPHARMA 5 mg,5mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),orally disintegrating Tablets,Prednisolone – EVAPHARMA 5 mg 5mg
Tadalong 5mg,5mg,al andalous for pharmaceutical industries,Film Coated Tablets,Tadalong 5mg 5mg
Rosulipid 5 mg,5mg,Wadi El Neel Benta for Pharmaceuticals and Medical Devices,Film Coated Tablets,Rosulipid 5 mg 5mg
Rosulipid 10 mg,10mg,Wadi El Neel Benta for Pharmaceuticals and Medical Devices,Film Coated Tablets,Rosulipid 10 mg 10mg
Kativarox 25 mg,25mg,Apex pharma,Film Coated Tablets,Kativarox 25 mg 25mg
Amloprectal 4/10 mg,0comb,Adwia,Tablets,Amloprectal 4/10 mg 0comb
Amloprectal 8/5 mg,0comb,Adwia,Tablets,Amloprectal 8/5 mg 0comb
Amloprectal 8/10 mg,0comb,Adwia,Tablets,Amloprectal 8/10 mg 0comb
Imatinib AqVida 100 mg,100mg,Life med pharma,Hard Gelatin Capsules,Imatinib AqVida 100 mg 100mg
Imatinib AqVida 400 mg,400mg,Life med pharma,Hard Gelatin Capsules,Imatinib AqVida 400 mg 400mg
Episalpride,50mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Tablets,Episalpride 50mg
Dacepton 5mg/ml,5mg/ml,Ever valingect GmbH,Solution for Infusion,Dacepton 5mg/ml 5mg/ml
Dacepton 10mg/ ml,10mg/ml,Ever valingect GmbH,Solution for injection,Dacepton 10mg/ ml 10mg/ml
Futaparky,0comb,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Tablets,Futaparky 0comb
Lafilarect,20mg,Gen tech pharmaceuticals,Film Coated Tablets,Lafilarect 20mg
fluarix tetra,0comb,GLAXO SMITHKLINE-EGYPT Scientific Office,Suspension for IM injection,fluarix tetra 0comb
Rumaximap 120 mg,120mg,Apex pharma,Film Coated Tablets,Rumaximap 120 mg 120mg
Rumaximap 90 mg,90mg,Apex pharma,Film Coated Tablets,Rumaximap 90 mg 90mg
Rumaximap 60 mg,60mg,Apex pharma,Film Coated Tablets,Rumaximap 60 mg 60mg
Nervalta 30mg,30mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Hard Gelatin Capsules Containing Delayed Release Pellets,Nervalta 30mg 30mg
Davalindi 5000 I.U.,5000I.U.,Medical Union Pharmaceuticals - MUP,Tablets,Davalindi 5000 I.U. 5000I.U.
safedalfa 0.5 mcg,0.5mcg,safe for pharmaceuticals - Safe Pharma,Soft Gelatin Capsule,safedalfa 0.5 mcg 0.5mcg
Safedalfa 1 mcg,1mcg,safe for pharmaceuticals - Safe Pharma,Soft Gelatin Capsule,Safedalfa 1 mcg 1mcg
Spinobac,5mg/5ml,CLAVITA PHARMA,Oral Solution,Spinobac 5mg/5ml
Rivaxarelt 20mg,20mg,penta pharma egypt,Film Coated Tablets,Rivaxarelt 20mg 20mg
Spiraquet,300mg,Medizen pharmaceutical industries (Medizen),Extended Release Film Coated Tablets,Spiraquet 300mg
Argipronex,800mg/8ml,Medizen pharmaceutical industries (Medizen),Solution For I.V Infusion,Argipronex 800mg/8ml
Ultracillin 3000mg,0comb,South Egypt Drug Industries Co (SEDICO),Powder for reconstitution for I.M or Slow I.V. Injection or I.V. Infusion,Ultracillin 3000mg 0comb
Viofentova,600mg,Glory Medical,soft gelatin vaginal capsule,Viofentova 600mg
Lanade,0.075mg,DKT,Film Coated Tablets,Lanade 0.075mg
Shamstron,16mg,EL SHAMS FOR MANUFACTERING & TRADING PHARMACEUTICAL PRODUCTS,Rectal Suppositories,Shamstron 16mg
Clavosigma 600/42.9 mg,0comb,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Powder for Oral Suspension,Clavosigma 600/42.9 mg 0comb
Hartzof 60 mg,60mg,Pharmacredo,Film Coated Tablets,Hartzof 60 mg 60mg
Vetobactisone,0comb,vetopharm nerhado international for pharmaceuticals and chemicals,Topical Cream,Vetobactisone 0comb
Oxynarvon,0comb,Abo elnaga Trading Co - Atco Pharma,Extended Release Film Coated Tablets,Oxynarvon 0comb
Biorefamin 200,200mg,Innova vitae pharma,Film Coated Tablets,Biorefamin 200 200mg
Biorefamin 550 mg,550mg,Innova vitae pharma,Film Coated Tablets,Biorefamin 550 mg 550mg
haemostatine 500 mg,500mg,Multicare Egypt for Pharmaceutical Industries,Tablets,haemostatine 500 mg 500mg
Gelaspan,0comb,Sunny Medical Group,Solution For I.V Infusion,Gelaspan 0comb
Atomorelax,20mg/5ml,CLAVITA PHARMA,Oral Solution,Atomorelax 20mg/5ml
Valvir,450mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Film Coated Tablets,Valvir 450mg
Azithromycin-Al Esraa Pharmaceutical Optima,250mg,AL ESRAA PHARMACEUTICAL OPTIMA-EGYPT,Film Coated Tablets,Azithromycin-Al Esraa Pharmaceutical Optima 250mg
Metronidazole-EL Nile,250mg,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Film Coated Tablets,Metronidazole-EL Nile 250mg
Metronidazole-Makka Pharma,500mg/100ml,Makka Pharma,Solution For I.V Infusion,Metronidazole-Makka Pharma 500mg/100ml
Mannitol infusion 20%  BP 2022,0% W/V,"Al Mottahedoon for Pharmaceutical Industry, medical devices and cosmetics - U pharma",Solution For I.V Infusion,Mannitol infusion 20%  BP 2022 0% W/V
Hemlibra 30mg/ml,30mg/ml,Hoffman La Roch,Solution for S.C injection,Hemlibra 30mg/ml 30mg/ml
Hemlibra 105 mg/0.7ml,105mg/0.7ml,Hoffman La Roch,Solution for S.C injection,Hemlibra 105 mg/0.7ml 105mg/0.7ml
Gamboza,0comb,Tabuk Pharmaceutical Manufacturing Co.Egypt - local under construction,Tablets,Gamboza 0comb
Gamboza,0comb,Tabuk Pharmaceutical Manufacturing Co.Egypt - local under construction,Tablets,Gamboza 0comb
Gamboza,0comb,Tabuk Pharmaceutical Manufacturing Co.Egypt - local under construction,Tablets,Gamboza 0comb
Gamboza,0comb,Tabuk Pharmaceutical Manufacturing Co.Egypt - local under construction,Tablets,Gamboza 0comb
Palonotron,0.25mg/5ml,SAJA Pharmaceuticals Egypt - SAJA,Solution for I.V injection \Infusion,Palonotron 0.25mg/5ml
Quatroflucan 50mg,50mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),lyophilized Powder for Concentrate for solution for i.v.Infusion,Quatroflucan 50mg 50mg
Queen Vidacal,0comb,Marcyrl pharmaceutical industries - MPI,Oral Suspension,Queen Vidacal 0comb
Quatroflucan 70mg,70mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),lyophilized Powder for Concentrate for solution for i.v.Infusion,Quatroflucan 70mg 70mg
Albendotal,400mg,zad industrial pharma,Tablets,Albendotal 400mg
Mitashe 3MG/3ML,3mg/3ml,Bio Med For Pharmaceutical Industries (BIOMED),Concentrate for solution for slow I.V injection or  I.V  infusion,Mitashe 3MG/3ML 3mg/3ml
Augram 457 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Chewable Tablets,Augram 457 mg 0comb
Augram 228.5 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Chewable Tablets,Augram 228.5 mg 0comb
Augram 156.25 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Chewable Tablets,Augram 156.25 mg 0comb
Augram 312.5 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Chewable Tablets,Augram 312.5 mg 0comb
valsosac,200mg,The National Company NAPCO PHARMA  For Pharmaceuticals  Industries,Film Coated Tablets,valsosac 200mg
Fusamic,10mg/gm,Chemipharm Pharmaceutical Industries,Viscous Ophthalmic drops,Fusamic 10mg/gm
