trade_name,concentration,company,pharmaceutical_form,display_name
TRIAMERICAN 500 mg,500mg,PAXAL PHARMACEUTICAL,Powder for Solution for I.M injection,TRIAMERICAN 500 mg 500mg
LYROLIN 50mg,50mg,Hikma pharma,Hard Gelatin Capsules,LYROLIN 50mg 50mg
ADROBEGA 80 MG,80mg,ROYAL GROUP,Film Coated Tablets,ADROBEGA 80 MG 80mg
GLUCOMEPRIDE 3mg tabs.,3mg,M.N.-EGYPT,Tablets,GLUCOMEPRIDE 3mg tabs. 3mg
ACNETROX,1gm/100g,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Topical Cream,ACNETROX 1gm/100g
PROPOFOL 2%  MCT,2mg/ml,FRESENIUS KABI-SCIENTIFIC OFFICE,Emulsion for injection/Infusion,PROPOFOL 2%  MCT 2mg/ml
EXLOR 5 mg,5mg,Tabuk medical,Film Coated Tablets,EXLOR 5 mg 5mg
INVEGA SUSTENNA 100mg/ml susp. For I.M. inj.,100mg/ml,Janssen pharmaceutica NV,Suspension in prefilled syringe,INVEGA SUSTENNA 100mg/ml susp. For I.M. inj. 100mg/ml
VENTOCOUGH (With sugar),0comb,Glenmark Pharmaceuticals Egypt,Syrup,VENTOCOUGH (With sugar) 0comb
TANAKAN,4gm/100ml,Amriya for Pharmaceutical Industries,Oral Solution,TANAKAN 4gm/100ml
VEXIDOGREL 75 mg,75mg,European egyptian pharmaceutical industries,Film Coated Tablets,VEXIDOGREL 75 mg 75mg
LEZBERG-AMLO 5/40,0comb,"Global Advanced pharmaceuticals ""GAP""",Film Coated Tablets,LEZBERG-AMLO 5/40 0comb
GRANITYLLIN,25mg/5ml,Delta grand pharma for pharmaceutical industries - DGP,Oral Syrup,GRANITYLLIN 25mg/5ml
BISOCARD PLUS 10/6.25,0comb,Global NAPI Pharmaceuticals - GNP,Film Coated Tablets,BISOCARD PLUS 10/6.25 0comb
MAVIDAMIN,150mg,El OBOUR MODERN PHARMACEUTICAL INDUSTRIES-EGYPT,Tablets,MAVIDAMIN 150mg
Haemopower,50mg/ml,Amriya for Pharmaceutical Industries,Oral Drops,Haemopower 50mg/ml
PREGATREND 50 MG,50mg,Trend Pharm for Pharmaceuticals,Hard Gelatin Capsules,PREGATREND 50 MG 50mg
TUSSISTOP,30mg/5ml,ATCO Pharma for Pharmaceutical Industries,Syrup,TUSSISTOP 30mg/5ml
Swixtobram,3mg/ml,Chemipharm Pharmaceutical Industries,sterile ophthalmic solution,Swixtobram 3mg/ml
COPEGUS,200mg,Hoffman La Roch,Film Coated Tablets,COPEGUS 200mg
NEBIDO,157.9mg/ml,Bayer AG,Solution for injection,NEBIDO 157.9mg/ml
GLUCONIDE 2 MG,2mg,South Egypt Drug Industries Co (SEDICO),Tablets,GLUCONIDE 2 MG 2mg
Norocarmena 3/ 0.03 mg,0comb,Aboukir Trading for International Trade,Film Coated Tablets,Norocarmena 3/ 0.03 mg 0comb
Esctikana,10mg,Incandesce,Film Coated Tablets,Esctikana 10mg
ROFLAST,500mcg,Lamar Pharma for Pharmaceutical & Cosmetics Industries,Film Coated Tablets,ROFLAST 500mcg
Anastrozol synthon,1mg,Aboukir Trading for International Trade,Film Coated Tablets,Anastrozol synthon 1mg
CEFOHYGIENIC,100mg/5ml,pedo egypt pharmaceutical,Powder for Oral Suspension,CEFOHYGIENIC 100mg/5ml
Sinuobuster,600mcg/100ul,Novell Pharma for trading and supplies,Nasal Spray,Sinuobuster 600mcg/100ul
Glibolar 500/2.5,0comb,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Film Coated Tablets,Glibolar 500/2.5 0comb
Galvus Met® 50/500 mg,0comb,Novartis Pharma,Film Coated Tablets,Galvus Met® 50/500 mg 0comb
Occumycine,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Ophthalmic Solution,Occumycine 0comb
Bedremine 100 mg,100mg,Bio Med For Pharmaceutical Industries (BIOMED),Extended Release Film Coated Tablets,Bedremine 100 mg 100mg
Atmiprazole 40 mg,40mg,"ATM Pharmaceutical Industries, Import and Export",Hard Gelatin Capsules Containing Delayed Release Pellets,Atmiprazole 40 mg 40mg
Atmiprazole 20 mg,20mg,"ATM Pharmaceutical Industries, Import and Export",Hard Gelatin Capsules Containing Delayed Release Pellets,Atmiprazole 20 mg 20mg
LERGESTIN,0.5mg/ml,Marcyrl pharmaceutical industries - MPI,Ophthalmic Suspension,LERGESTIN 0.5mg/ml
RANITIDINE-SINA PHARM  300mg,300mg,SINA PHARM,Film Coated Tablets,RANITIDINE-SINA PHARM  300mg 300mg
LANZYPLEX 30mg,30mg,Biosystem Pharmaceutical  group,Hard Gelatin Capsules Containing Delayed Release Pellets,LANZYPLEX 30mg 30mg
LANZYPLEX 15 mg,15mg,Biosystem Pharmaceutical  group,Hard Gelatin Capsules Containing Delayed Release Pellets,LANZYPLEX 15 mg 15mg
NEUROFUTAL 400mg,400mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Sustained Release Film Coated Tablets,NEUROFUTAL 400mg 400mg
LEZBERG-AMLO 5/20,0comb,"Global Advanced pharmaceuticals ""GAP""",Film Coated Tablets,LEZBERG-AMLO 5/20 0comb
EGYCUSATE PLUS,0comb,Egyptian Group for Pharmaceutical Industries - EGPI,Film Coated Tablets,EGYCUSATE PLUS 0comb
Epifenac 100 mg,100mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Sustained Release Film Coated Tablets,Epifenac 100 mg 100mg
ECALICAZIDE 80mg tab.,80mg,M.N.-EGYPT,Tablets,ECALICAZIDE 80mg tab. 80mg
DEBACOLEV 500 mg,500mg,D.B.K FOR PHARMACEUTICAL INDUSTRIES,Film Coated Tablets,DEBACOLEV 500 mg 500mg
AIG ESOMEPRAZOLE,40mg,PLANET CURE,Hard Gelatin Capsules Containing Delayed Release Pellets,AIG ESOMEPRAZOLE 40mg
GLAPTIVIA PLUS,0comb,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,GLAPTIVIA PLUS 0comb
ANAEROSTOP,0comb,The National Company NAPCO PHARMA  For Pharmaceuticals  Industries,Film Coated Tablets,ANAEROSTOP 0comb
VARDE,20mg,Hikma Pharmaceuticals industries,Film Coated Tablets,VARDE 20mg
TRICANIPRIL,1.25mg,M.N.-EGYPT,Tablets,TRICANIPRIL 1.25mg
OLOMANSYS,0.1gm/100ml,Beta pharma for pharmaceutical and chemical industries,Ophthalmic Solution,OLOMANSYS 0.1gm/100ml
SUDOCOMB,0comb,The National Company NAPCO PHARMA  For Pharmaceuticals  Industries,Film Coated Tablets,SUDOCOMB 0comb
TRICANIPRIL,10mg,M.N.-EGYPT,Tablets,TRICANIPRIL 10mg
TEGOSTATIN,100000I.U./ml,Panax Pharma,Oral Suspension,TEGOSTATIN 100000I.U./ml
CEFAVIL 250mg/ml,250mg/5ml,sabaa international company for pharmaceutical and chemical industries,Powder for Oral Suspension,CEFAVIL 250mg/ml 250mg/5ml
STANDOGENT,3mg/ml,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,STANDOGENT 3mg/ml
Glucose Intravenous Infusion BP 2019 (5%W/V),5gm/100ml,El Fath for Drugs and Cosmetics Industry (FIPCO),Solution For I.V Infusion,Glucose Intravenous Infusion BP 2019 (5%W/V) 5gm/100ml
Paroxedur XL,25mg,Bio Med For Pharmaceutical Industries (BIOMED),Extended Release Film Coated Tablets,Paroxedur XL 25mg
Bioprex 7.5mg,7.5mg,CLAVITA PHARMA,Film Coated Tablets,Bioprex 7.5mg 7.5mg
Mipaflam 75 mg Suppository,75mg,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Rectal Suppositories,Mipaflam 75 mg Suppository 75mg
PENCARD,0comb,Globe International Pharmaceuticals,Film Coated Tablets,PENCARD 0comb
CANDESAR COMP,0comb,pharaonia pharmaceuticals (pharo pharma),Tablets,CANDESAR COMP 0comb
CANDESAR COMP,0comb,pharaonia pharmaceuticals (pharo pharma),Tablets,CANDESAR COMP 0comb
PRINSOCIN,250mg/5ml,"Sonesta Pharma for Pharmaceutical Industries , import and export",Powder for Oral Suspension,PRINSOCIN 250mg/5ml
Yozaxi,500mg,universal pharmaceutical industries (unipharma),Film Coated Tablets,Yozaxi 500mg
Andohepaled,0comb,al andalous for pharmaceutical industries,Film Coated Tablets,Andohepaled 0comb
Floxatav 750 mg,750mg,Wadi El Neel Benta for Pharmaceuticals and Medical Devices,Film Coated Tablets,Floxatav 750 mg 750mg
Solofresh 0.18%,1.8mg/ml,ORCHIDIA PHARMACEUTICAL INDUSTRIES-EGYPT,sterile ophthalmic solution,Solofresh 0.18% 1.8mg/ml
Jivi 1000 IU,1000I.U.,Bayer AG,Powder and Solvent for Solution for injection,Jivi 1000 IU 1000I.U.
molpira 200 mg,200mg,Marcyrl pharmaceutical industries - MPI,Hard Capsule,molpira 200 mg 200mg
Molnupiravir - Eva Pharma 200 mg,200mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Hard Capsule,Molnupiravir - Eva Pharma 200 mg 200mg
Pirologlob 200 mg,200mg,"Global Advanced pharmaceuticals ""GAP""",Hard Capsule,Pirologlob 200 mg 200mg
Molnupiravir – Rameda  200 mg,200mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Hard Capsule,Molnupiravir – Rameda  200 mg 200mg
Covapravir 200 mg,200mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Hard Capsule,Covapravir 200 mg 200mg
Exliance,2mg,excellence pharm,Film Coated Tablets,Exliance 2mg
Atcogliflozin 25 mg,25mg,ATCO Pharma for Pharmaceutical Industries,Film Coated Tablets,Atcogliflozin 25 mg 25mg
Atcogliflozin 10 mg,10mg,ATCO Pharma for Pharmaceutical Industries,Film Coated Tablets,Atcogliflozin 10 mg 10mg
Care dipine 20mg,18.8mg,Multicare Egypt for Pharmaceutical Industries,Film Coated Tablets,Care dipine 20mg 18.8mg
Riacetomol,0mg,RIVA PHARMA,orodispersible granules in sachets,Riacetomol 0mg
Rheumamax 200mg,0mg,Hi Pharm for manufacturing pharmaceuticals and chemicals,Hard Gelatin Capsules,Rheumamax 200mg 0mg
Rheumamax 400mg,0mg,Hi Pharm for manufacturing pharmaceuticals and chemicals,Hard Gelatin Capsules,Rheumamax 400mg 0mg
Guaiscape,0comb,philopharm pharmaceuticals Dr Hisham Mohamed Alaa El-din and his partners,Oral Syrup,Guaiscape 0comb
Mannitol – MUP 20%,20gm,Medical Union Pharmaceuticals - MUP,Solution For I.V Infusion,Mannitol – MUP 20% 20gm
Mannitol – MUP 15%,15gm/100ml,Medical Union Pharmaceuticals - MUP,Solution For I.V Infusion,Mannitol – MUP 15% 15gm/100ml
Mannitol – MUP 10%,10gm/100ml,Medical Union Pharmaceuticals - MUP,Solution For I.V Infusion,Mannitol – MUP 10% 10gm/100ml
Rifazinatol,0comb,Vion pharmaceuticals,Film Coated Tablets,Rifazinatol 0comb
Laridorm 40 mg.,40mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Film Coated Tablets,Laridorm 40 mg. 40mg
Carnitofect,1gm,First International Pharma,Oral Syrup,Carnitofect 1gm
